"CODE","SNOMED_conceptId_description","PrimaryCode"
"275602002","Turkish Cypriot (NMO) (ethnic group)","S"
"41798002","Caroline Islanders (ethnic group)","S"
"67931002","Aztec (ethnic group)","S"
"94091000000101","Kurdish - ethnic category 2001 census (finding)","S"
"47327008","Mexican Indians (ethnic group)","S"
"186005001","Other ethnic non-mixed (NMO) (ethnic group)","S"
"32873005","Bloods (ethnic group)","S"
"75326007","Labradors (ethnic group)","S"
"76460008","Yanomama (ethnic group)","S"
"77686000","Kwakiutl (ethnic group)","S"
"186037000","Other European in New Zealand (ethnic group)","S"
"66920001","Amerind (ethnic group)","S"
"3353005","Pueblo (ethnic group)","S"
"50405005","Senoi (ethnic group)","S"
"49202008","Gilbertese (ethnic group)","S"
"63732001","New Hebrideans (ethnic group)","S"
"81560001","Tongan (ethnic group)","S"
"94111000000106","Latin American - ethnic category 2001 census (finding)","S"
"43890005","Dieguenos (ethnic group)","S"
"94101000000109","Moroccan - ethnic category 2001 census (finding)","S"
"186042008","Tokelauan (ethnic group)","S"
"38144004","Athabascans (ethnic group)","S"
"25750005","Admiralty Islanders (ethnic group)","S"
"23517005","Polynesians (ethnic group)","S"
"35007000","Utes (ethnic group)","S"
"88991000000105","Jewish - ethnic category 2001 census (finding)","S"
"48118002","Yapese (ethnic group)","S"
"48375000","Seminole (ethnic group)","S"
"110401000000103","Turkish - ethnic category 2001 census (finding)","S"
"89026003","Alacaluf (ethnic group)","S"
"73736004","M-üori (ethnic group)","S"
"108342005","South Asian AND/OR Australian aborigine (ethnic group)","S"
"76883002","Huichol (ethnic group)","S"
"79434006","Quechua (ethnic group)","S"
"38750003","Bororo (ethnic group)","S"
"94081000000103","Israeli - ethnic category 2001 census (finding)","S"
"40182006","Gypsies (ethnic group)","S"
"48294008","Solomon Islanders (ethnic group)","S"
"976971000000106","Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census (finding)","S"
"71949006","Chippewa (ethnic group)","S"
"92521000000101","Other - ethnic category 2001 census (finding)","S"
"92611000000106","Asian and Chinese - ethnic category 2001 census (finding)","S"
"186040000","Cook Island M-üori (ethnic group)","S"
"28821007","Easter Islanders (ethnic group)","S"
"27301002","Paez (ethnic group)","S"
"21047009","Aleuts (ethnic group)","S"
"34334001","New Caledonians (ethnic group)","S"
"186007009","British ethnic minority unspecified (NMO) (ethnic group)","S"
"27700004","Iraqi (ethnic group)","S"
"113170005","Aymara (ethnic group)","S"
